Time,Event,Details
28,parcels arrived,8 parcels have arrived.
174,parcels arrived,7 parcels have arrived.
256,parcels arrived,8 parcels have arrived.
260,parcels arrived,8 parcels have arrived.
316,parcels arrived,4 parcels have arrived.
338,parcels arrived,9 parcels have arrived.
424,parcels arrived,7 parcels have arrived.
462,parcels arrived,9 parcels have arrived.
579,parcels arrived,9 parcels have arrived.
648,parcels arrived,3 parcels have arrived.
717,parcels arrived,11 parcels have arrived.
801,parcels arrived,7 parcels have arrived.
935,parcels arrived,12 parcels have arrived.
